"First names at birth by sex at birth, selected indicators (Number) 1 2 3 4"
"Frequency: Annual"
"Table: 17-10-0147-01"
"Release date: 2024-09-25"
"Geography: Canada"
""
""

"Geography, place of residence of mother","Canada",,,,,
"DEEYA","..","..","..","..","..",".."
"DEFNE","..","..","..","..","..",".."
"DEGAN","..","..","..","..","..",".."
"DEIDRA","..","..","..","..","..",".."
"DEIDRE","..","..","..","..","..",".."
"DEION","..","..","..","..","..",".."
"DEIONDRE","..","..","..","..","..",".."
"DEIRDRE","..","..","..","..","..",".."
"DEJA","..","..","..","8","2,326","0.0057"
"DEJAH","..","..","..","..","..",".."
"DEJAN","..","..","..","..","..",".."
"DEKA","..","..","..","..","..",".."
"DEKKER","..","..","..","..","..",".."
"DEKLAN","11","1,696","0.0073","..","..",".."
"DEKLEN","..","..","..","..","..",".."
"DEKLIN","..","..","..","..","..",".."
"DEKLYN","..","..","..","..","..",".."
"DEKOTA","..","..","..","..","..",".."
"DEL","..","..","..","..","..",".."
"DELA","..","..","..","8","2,326","0.0057"
"DELAINA","..","..","..","..","..",".."
"DELAINE","..","..","..","..","..",".."
"DELAINEY","..","..","..","..","..",".."
"DELANA","..","..","..","..","..",".."
"DELANEY","..","..","..","37","735","0.0265"
"DELANIE","..","..","..","..","..",".."
"DELANO","..","..","..","..","..",".."
"DELARA","..","..","..","8","2,326","0.0057"
"DELAYNA","..","..","..","..","..",".."
"DELBERT","..","..","..","..","..",".."
"DELENN","..","..","..","..","..",".."
"DELIA","..","..","..","17","1,348","0.0122"
"DELIAH","..","..","..","..","..",".."
"DELILA","..","..","..","..","..",".."
"DELILAH","..","..","..","195","129","0.1395"
"DELINA","..","..","..","10","1,992","0.0072"
"DELLA","..","..","..","34","791","0.0243"
"DELON","..","..","..","..","..",".."
"DELORES","..","..","..","..","..",".."
"DELPHINE","..","..","..","78","371","0.0558"
"DELPHYNE","..","..","..","..","..",".."
"DELSA","..","..","..","..","..",".."
"DELTA","..","..","..","6","2,824","0.0043"
"DELTON","..","..","..","..","..",".."
"DELUCA","5","2,931","0.0033","..","..",".."
"DELVIN","..","..","..","..","..",".."
"DELYLAH","..","..","..","..","..",".."
"DEMAR","..","..","..","..","..",".."
"DEMARCO","..","..","..","..","..",".."
"DEMARCUS","..","..","..","..","..",".."
"DEMARI","..","..","..","..","..",".."
"DEMETRA","..","..","..","..","..",".."
"DEMETRE","..","..","..","..","..",".."
"DEMETRI","..","..","..","..","..",".."
"DEMETRIA","..","..","..","..","..",".."
"DEMETRIOS","..","..","..","..","..",".."
"DEMETRIUS","6","2,614","0.0040","..","..",".."
"DEMI","..","..","..","21","1,136","0.0150"
"DEMIAN","8","2,136","0.0053","..","..",".."
"DEMIANA","..","..","..","5","3,197","0.0036"
"DEMIR","..","..","..","..","..",".."
"DEMITRA","..","..","..","..","..",".."
"DEMITRI","..","..","..","..","..",".."
"DEMPSEY","..","..","..","..","..",".."
"DEN","..","..","..","..","..",".."
"DENA","..","..","..","..","..",".."
"DENAE","..","..","..","..","..",".."
"DENALI","..","..","..","7","2,557","0.0050"
"DENAY","..","..","..","..","..",".."
"DENAYA","..","..","..","..","..",".."
"DENE","..","..","..","..","..",".."
"DENELLE","..","..","..","..","..",".."
"DENESH","..","..","..","..","..",".."
"DENG","..","..","..","..","..",".."
"DENICA","..","..","..","..","..",".."
"DENIELLE","..","..","..","..","..",".."
"DENIKA","..","..","..","..","..",".."
"DENIS","12","1,605","0.0079","..","..",".."
"DENISA","..","..","..","..","..",".."
"DENISE","..","..","..","6","2,824","0.0043"
"DENISHA","..","..","..","..","..",".."
"DENIZ","9","1,963","0.0060","10","1,992","0.0072"
"DENNIS","23","1,019","0.0152","..","..",".."
"DENNY","8","2,136","0.0053","..","..",".."
"DENON","..","..","..","..","..",".."
"DENTON","..","..","..","..","..",".."
"DENVER","67","428","0.0444","16","1,398","0.0114"
"DENYS","..","..","..","..","..",".."
"DENZEL","21","1,086","0.0139","..","..",".."
"DENZIL","..","..","..","..","..",".."
"DEON","7","2,348","0.0046","..","..",".."
"DEONDRE","..","..","..","..","..",".."
"DEONTE","..","..","..","..","..",".."
"DER","..","..","..","..","..",".."
"DERECK","10","1,815","0.0066","..","..",".."
"DEREK","77","380","0.0510","..","..",".."
"DEREON","..","..","..","..","..",".."
"DERIAN","..","..","..","..","..",".."
"DERIC","..","..","..","..","..",".."
"DERICK","11","1,696","0.0073","..","..",".."
"DERIK","..","..","..","..","..",".."
"DERIN","..","..","..","..","..",".."
"DERON","..","..","..","..","..",".."
"DERRECK","..","..","..","..","..",".."
"DERREK","..","..","..","..","..",".."
"DERRICK","10","1,815","0.0066","..","..",".."
"DERRIK","..","..","..","..","..",".."
"DERRON","..","..","..","..","..",".."
"DERWIN","..","..","..","..","..",".."
"DERYCK","..","..","..","..","..",".."
"DERYK","..","..","..","..","..",".."
"DESARAE","..","..","..","..","..",".."
"DESEAN","..","..","..","..","..",".."
"DESERAE","..","..","..","..","..",".."
"DESEREE","..","..","..","..","..",".."
"DESHAUN","..","..","..","..","..",".."
"DESHAWN","..","..","..","..","..",".."
"DESIRAE","..","..","..","..","..",".."
"DESIRAY","..","..","..","..","..",".."
"DESIRE","..","..","..","6","2,824","0.0043"
"DESIREA","..","..","..","..","..",".."
"DESIREE","..","..","..","12","1,739","0.0086"
"DESMOND","77","380","0.0510","..","..",".."
"DESPINA","..","..","..","..","..",".."
"DESSA","..","..","..","..","..",".."
"DESTA","..","..","..","..","..",".."
"DESTAN","..","..","..","..","..",".."
"DESTANY","..","..","..","..","..",".."
"DESTIN","..","..","..","..","..",".."
"DESTINA","..","..","..","..","..",".."
"DESTINEE","..","..","..","..","..",".."
"DESTINEY","..","..","..","..","..",".."
"DESTINI","..","..","..","..","..",".."
"DESTINY","..","..","..","32","830","0.0229"
"DEV","37","696","0.0245","..","..",".."
"DEVAN","7","2,348","0.0046","..","..",".."
"DEVANSH","18","1,198","0.0119","..","..",".."
"DEVANSHI","..","..","..","..","..",".."
"DEVANTE","..","..","..","..","..",".."
"DEVAUGHN","..","..","..","..","..",".."
"DEVEN","10","1,815","0.0066","..","..",".."
"DEVESH","..","..","..","..","..",".."
"DEVI","..","..","..","5","3,197","0.0036"
"DEVIKA","..","..","..","5","3,197","0.0036"
"DEVIN","53","520","0.0351","10","1,992","0.0072"
"DEVINA","..","..","..","..","..",".."
"DEVINE","..","..","..","..","..",".."
"DEVLIN","5","2,931","0.0033","..","..",".."
"DEVLYN","..","..","..","..","..",".."
"DEVON","28","860","0.0185","..","..",".."
"DEVONTE","..","..","..","..","..",".."
"DEVORA","..","..","..","..","..",".."
"DEVORAH","..","..","..","6","2,824","0.0043"
"DEVRAJ","..","..","..","..","..",".."
"DEVYN","..","..","..","12","1,739","0.0086"
"DEVYNN","..","..","..","..","..",".."
"DEX","..","..","..","..","..",".."
"DEXTER","31","796","0.0205","..","..",".."
"DEXTON","..","..","..","..","..",".."
"DEYAN","..","..","..","..","..",".."
"DEZARAE","..","..","..","..","..",".."
"DEZIRAE","..","..","..","..","..",".."
"DEZIREE","..","..","..","..","..",".."
"DEZMOND","5","2,931","0.0033","..","..",".."
"DHAIRYA","7","2,348","0.0046","..","..",".."
"DHANVI","..","..","..","10","1,992","0.0072"
"DHANYA","..","..","..","..","..",".."
"DHARA","..","..","..","..","..",".."
"DHARMA","..","..","..","..","..",".."
"DHEER","..","..","..","..","..",".."
"DHEERAN","5","2,931","0.0033","..","..",".."
"DHILAN","..","..","..","..","..",".."
"DHILLON","..","..","..","..","..",".."
"DHIREN","..","..","..","..","..",".."
"DHIYA","..","..","..","6","2,824","0.0043"
"DHRITI","..","..","..","20","1,190","0.0143"
"DHRUV","42","635","0.0278","..","..",".."
"DHRUVA","..","..","..","..","..",".."
"DHRUVI","..","..","..","..","..",".."
"DHWANI","..","..","..","..","..",".."
"DHYAN","13","1,505","0.0086","..","..",".."
"DHYANA","..","..","..","..","..",".."
"DHYEY","6","2,614","0.0040","..","..",".."
"DIA","..","..","..","16","1,398","0.0114"
"DIAGO","..","..","..","..","..",".."
"DIALA","..","..","..","..","..",".."
"DIAMOND","6","2,614","0.0040","7","2,557","0.0050"
"DIANA","..","..","..","114","248","0.0816"
"DIANDRA","..","..","..","..","..",".."
"DIANE","..","..","..","7","2,557","0.0050"
"DIANNA","..","..","..","6","2,824","0.0043"
"DIANNE","..","..","..","5","3,197","0.0036"
"DIBA","..","..","..","8","2,326","0.0057"
"DICKSON","..","..","..","..","..",".."
"DIDIER","..","..","..","..","..",".."
"DIEDRICH","..","..","..","..","..",".."
"DIEGO","58","486","0.0384","..","..",".."
"DIEM","..","..","..","..","..",".."
"DIESEL","..","..","..","..","..",".."
"DIETRICH","..","..","..","..","..",".."
"DIEYNABA","..","..","..","..","..",".."
"DIEZEL","..","..","..","..","..",".."
"DILAN","9","1,963","0.0060","..","..",".."
"DILANA","..","..","..","..","..",".."
"DILARA","..","..","..","5","3,197","0.0036"
"DILAWAR","18","1,198","0.0119","..","..",".."
"DILJOT","..","..","..","..","..",".."
"DILLAN","..","..","..","..","..",".."
"DILLEN","..","..","..","..","..",".."
"DILLIN","..","..","..","..","..",".."
"DILLION","..","..","..","..","..",".."
"DILLON","15","1,355","0.0099","..","..",".."
"DILNAAZ","..","..","..","7","2,557","0.0050"
"DILNOOR","..","..","..","..","..",".."
"DILON","..","..","..","..","..",".."
"DILPREET","..","..","..","..","..",".."
"DILRAJ","9","1,963","0.0060","..","..",".."
"DILREET","..","..","..","..","..",".."
"DILSHAAN","8","2,136","0.0053","..","..",".."
"DILSHAN","..","..","..","..","..",".."
"DILSHER","20","1,117","0.0132","..","..",".."
"DILYNN","..","..","..","..","..",".."
"DIMA","..","..","..","..","..",".."
"DIMITAR","..","..","..","..","..",".."
"DIMITRA","..","..","..","..","..",".."
"DIMITRI","28","860","0.0185","..","..",".."
"DIMITRIJE","..","..","..","..","..",".."
"DIMITRIOS","..","..","..","..","..",".."
"DIMITRIS","..","..","..","..","..",".."
"DIMITRY","..","..","..","..","..",".."
"DIMYANA","..","..","..","..","..",".."
"DINA","..","..","..","46","607","0.0329"
"DINAH","..","..","..","..","..",".."
"DINESH","..","..","..","..","..",".."
"DINH","..","..","..","..","..",".."
"DINO","..","..","..","..","..",".."
"DIO","..","..","..","..","..",".."
"DIOGO","..","..","..","..","..",".."
"DION","34","747","0.0225","..","..",".."
"DIONDRE","..","..","..","..","..",".."
"DIONISIOS","..","..","..","..","..",".."
"DIOR","6","2,614","0.0040","7","2,557","0.0050"
"DIORA","..","..","..","..","..",".."
"DIRK","..","..","..","..","..",".."
"DISHA","..","..","..","..","..",".."
"DITYA","..","..","..","8","2,326","0.0057"
"DIVA","..","..","..","..","..",".."
"DIVINA","..","..","..","..","..",".."
"DIVINE","8","2,136","0.0053","13","1,645","0.0093"
"DIVISHA","..","..","..","14","1,551","0.0100"
"DIVIT","7","2,348","0.0046","..","..",".."
"DIVJOT","5","2,931","0.0033","..","..",".."
"DIVLEEN","..","..","..","..","..",".."
"DIVORA","..","..","..","..","..",".."
"DIVREET","..","..","..","..","..",".."
"DIVYA","..","..","..","8","2,326","0.0057"
"DIVYANSH","..","..","..","..","..",".."
"DIXIE","..","..","..","6","2,824","0.0043"
"DIXON","5","2,931","0.0033","..","..",".."
"DIYA","..","..","..","48","592","0.0343"
"DIYAAN","5","2,931","0.0033","..","..",".."
"DIYAN","..","..","..","..","..",".."
"DIYAR","6","2,614","0.0040","..","..",".."
"DJ","..","..","..","..","..",".."
"DJAMEL","..","..","..","..","..",".."
"DJENEBA","..","..","..","..","..",".."
"DJIBRIL","..","..","..","..","..",".."
"DJORDJE","..","..","..","..","..",".."
"DMITRI","..","..","..","..","..",".."
"DMITRY","..","..","..","..","..",".."
"DOAA","..","..","..","..","..",".."
"DOHA","..","..","..","..","..",".."
"DOLAN","..","..","..","..","..",".."
"DOLLY","..","..","..","5","3,197","0.0036"
"DOLORES","..","..","..","..","..",".."
"DOM","5","2,931","0.0033","..","..",".."
"DOMANIC","..","..","..","..","..",".."
"DOMANICK","..","..","..","..","..",".."
"DOMENIC","17","1,244","0.0113","..","..",".."
"DOMENICA","..","..","..","..","..",".."
"DOMENICK","..","..","..","..","..",".."
"DOMENICO","17","1,244","0.0113","..","..",".."
"DOMENIK","..","..","..","..","..",".."
"DOMINIC","262","116","0.1734","..","..",".."
"DOMINICA","..","..","..","..","..",".."
"DOMINICK","19","1,158","0.0126","..","..",".."
"DOMINIK","46","583","0.0305","..","..",".."
"DOMINIKA","..","..","..","6","2,824","0.0043"
"DOMINION","..","..","..","..","..",".."
"DOMINIQUE","..","..","..","8","2,326","0.0057"
"DOMINQUE","..","..","..","..","..",".."
"DOMINYK","..","..","..","..","..",".."
"DOMONIC","..","..","..","..","..",".."
"DOMONIQUE","..","..","..","..","..",".."
"DON","8","2,136","0.0053","..","..",".."
"DONA","..","..","..","..","..",".."
"DONALD","22","1,048","0.0146","..","..",".."
"DONATELLA","..","..","..","..","..",".."
"DONATO","..","..","..","..","..",".."
"DONAVAN","..","..","..","..","..",".."
"DONAVEN","..","..","..","..","..",".."
"DONAVIN","..","..","..","..","..",".."
"DONAVON","..","..","..","..","..",".."
"DONDRE","..","..","..","..","..",".."
"DONG","..","..","..","..","..",".."
"DONIA","..","..","..","..","..",".."
"DONIVAN","..","..","..","..","..",".."
"DONNA","..","..","..","15","1,473","0.0107"
"DONNELL","..","..","..","..","..",".."
"DONNIE","6","2,614","0.0040","..","..",".."
"DONNY","..","..","..","..","..",".."
"DONOVAN","56","500","0.0371","..","..",".."
"DONTAE","..","..","..","..","..",".."
"DONTAY","..","..","..","..","..",".."
"DONTE","..","..","..","..","..",".."
"DONYA","..","..","..","..","..",".."
"DORA","..","..","..","10","1,992","0.0072"
"DORAN","..","..","..","..","..",".."
"DORCAS","..","..","..","7","2,557","0.0050"
"DOREEN","..","..","..","8","2,326","0.0057"
"DORIA","..","..","..","..","..",".."
"DORIAN","20","1,117","0.0132","..","..",".."
"DORIANE","..","..","..","..","..",".."
"DORIANNA","..","..","..","..","..",".."
"DORIANNE","..","..","..","..","..",".."
"DORIEN","..","..","..","..","..",".."
"DORINA","..","..","..","..","..",".."
"DORIS","..","..","..","13","1,645","0.0093"
"DOROTA","..","..","..","..","..",".."
"DOROTHEA","..","..","..","7","2,557","0.0050"
"DOROTHEE","..","..","..","9","2,160","0.0064"
"DOROTHY","..","..","..","50","566","0.0358"
"DORRA","..","..","..","..","..",".."
"DORSA","..","..","..","..","..",".."
"DOTTIE","..","..","..","6","2,824","0.0043"
"DOUAA","..","..","..","..","..",".."
"DOUAE","..","..","..","..","..",".."
"DOUGLAS","22","1,048","0.0146","..","..",".."
"DOUNIA","..","..","..","6","2,824","0.0043"
"DOV","5","2,931","0.0033","..","..",".."
"DOVE","..","..","..","9","2,160","0.0064"
"DOVID","..","..","..","..","..",".."
"DOYLE","..","..","..","..","..",".."
"DRACO","5","2,931","0.0033","..","..",".."
"DRAE","..","..","..","..","..",".."
"DRAEDEN","..","..","..","..","..",".."
"DRAGAN","..","..","..","..","..",".."
"DRAGOS","..","..","..","..","..",".."
"DRAIDEN","..","..","..","..","..",".."
"DRAKE","8","2,136","0.0053","..","..",".."
"DRAVEN","6","2,614","0.0040","..","..",".."
"DRAY","..","..","..","..","..",".."
"DRAYA","..","..","..","..","..",".."
"DRAYCE","..","..","..","..","..",".."
"DRAYDEN","7","2,348","0.0046","..","..",".."
"DRAYDON","..","..","..","..","..",".."
"DRAYSON","5","2,931","0.0033","..","..",".."
"DRAYTON","..","..","..","..","..",".."
"DRE","9","1,963","0.0060","..","..",".."
"DREA","..","..","..","..","..",".."
"DREAM","..","..","..","11","1,860","0.0079"
"DREANNA","..","..","..","..","..",".."
"DREDEN","..","..","..","..","..",".."
"DRESDEN","..","..","..","..","..",".."
"DREW","49","554","0.0324","32","830","0.0229"
"DREY","..","..","..","..","..",".."
"DREYA","..","..","..","..","..",".."
"DREYDEN","..","..","..","..","..",".."
"DREYDON","..","..","..","..","..",".."
"DREYSON","..","..","..","..","..",".."
"DREYTON","..","..","..","..","..",".."
"DRISHYA","..","..","..","..","..",".."
"DRU","..","..","..","..","..",".."
"DRUCILLA","..","..","..","..","..",".."
"DRYDEN","..","..","..","..","..",".."
"DUA","..","..","..","44","638","0.0315"
"DUAA","..","..","..","10","1,992","0.0072"
"DUANE","..","..","..","..","..",".."
"DUC","..","..","..","..","..",".."
"DUHA","..","..","..","..","..",".."
"DUKE","21","1,086","0.0139","..","..",".."
"DULCE","..","..","..","..","..",".."
"DUNCAN","37","696","0.0245","..","..",".."
"DUNIA","..","..","..","..","..",".."
"DUNYA","..","..","..","10","1,992","0.0072"
"DUONG","..","..","..","..","..",".."
"DURAN","..","..","..","..","..",".."
"DUSAN","..","..","..","..","..",".."
"DUSEN","..","..","..","..","..",".."
"DUSTAN","..","..","..","..","..",".."
"DUSTEN","..","..","..","..","..",".."
"DUSTIN","35","725","0.0232","..","..",".."
"DUSTY","..","..","..","..","..",".."
"DUSTYN","..","..","..","..","..",".."
"DUTCH","..","..","..","..","..",".."
"DUTTON","12","1,605","0.0079","..","..",".."
"DUY","..","..","..","..","..",".."
"DWAYNE","13","1,505","0.0086","..","..",".."
"DWIGHT","..","..","..","..","..",".."
"DWIJ","..","..","..","..","..",".."
"DWIJA","..","..","..","..","..",".."
"DYANA","..","..","..","..","..",".."
"DYK","..","..","..","..","..",".."
"DYKE","..","..","..","..","..",".."
"DYLAN","284","109","0.1880","34","791","0.0243"
"DYLANE","..","..","..","..","..",".."
"DYLANN","..","..","..","..","..",".."
"DYLEN","..","..","..","..","..",".."
"DYLIN","..","..","..","..","..",".."
"DYLLAN","..","..","..","..","..",".."
"DYLLON","..","..","..","..","..",".."
"DYLON","..","..","..","..","..",".."
"DYNA","..","..","..","..","..",".."
"DYSON","..","..","..","..","..",".."
"EABHA","..","..","..","..","..",".."
"EAGLE","..","..","..","..","..",".."
"EAMON","17","1,244","0.0113","..","..",".."
"EAMONN","..","..","..","..","..",".."
"EAN","5","2,931","0.0033","..","..",".."
"EARL","6","2,614","0.0040","..","..",".."
"EASHAN","..","..","..","..","..",".."
"EASON","20","1,117","0.0132","..","..",".."
"EASTEN","..","..","..","..","..",".."
"EASTIN","..","..","..","..","..",".."
"EASTON","197","164","0.1304","..","..",".."
"EASTYN","5","2,931","0.0033","..","..",".."
"EATHAN","..","..","..","..","..",".."
"EBADAT","..","..","..","9","2,160","0.0064"
"EBEN","..","..","..","..","..",".."
"EBENEZER","9","1,963","0.0060","..","..",".."
"EBERLE","..","..","..","..","..",".."
"EBERLEY","..","..","..","..","..",".."
"EBIN","..","..","..","..","..",".."
"EBONI","..","..","..","..","..",".."
"EBONY","..","..","..","..","..",".."
"EBRAHIM","6","2,614","0.0040","..","..",".."
"EBYAN","..","..","..","..","..",".."
"ECATERINA","..","..","..","..","..",".."
"ECHO","..","..","..","7","2,557","0.0050"
"ECRIN","..","..","..","..","..",".."
"ED","..","..","..","..","..",".."
"EDA","..","..","..","6","2,824","0.0043"
"EDAN","6","2,614","0.0040","..","..",".."
"EDDIE","32","778","0.0212","..","..",".."
"EDDISON","11","1,696","0.0073","..","..",".."
"EDDY","27","886","0.0179","..","..",".."
"EDEN","102","307","0.0675","191","134","0.1367"
"EDGAR","43","619","0.0285","..","..",".."
"EDGARDO","..","..","..","..","..",".."
"EDIE","..","..","..","7","2,557","0.0050"
"EDIN","..","..","..","..","..",".."
"EDISON","46","583","0.0305","..","..",".."
"EDITH","..","..","..","53","538","0.0379"
"EDMOND","52","527","0.0344","..","..",".."
"EDMUND","24","982","0.0159","..","..",".."
"EDNA","..","..","..","17","1,348","0.0122"
"EDOUARD","502","42","0.3323","..","..",".."
"EDRIC","..","..","..","..","..",".."
"EDRICK","..","..","..","..","..",".."
"EDRIS","6","2,614","0.0040","..","..",".."
"EDSON","5","2,931","0.0033","..","..",".."
"EDUARD","6","2,614","0.0040","..","..",".."
"EDUARDO","10","1,815","0.0066","..","..",".."
"EDWARD","193","167","0.1278","..","..",".."
"EDWIN","72","407","0.0477","..","..",".."
"EDWINA","..","..","..","..","..",".."
"EDWYN","..","..","..","..","..",".."
"EDYN","..","..","..","..","..",".."
"EDYTH","..","..","..","..","..",".."
"EESA","42","635","0.0278","..","..",".."
"EESHA","..","..","..","5","3,197","0.0036"
"EEVA","..","..","..","..","..",".."
"EEVEE","..","..","..","..","..",".."
"EEVIE","..","..","..","6","2,824","0.0043"
"EFE","..","..","..","..","..",".."
"EFFIE","..","..","..","6","2,824","0.0043"
"EFFY","..","..","..","..","..",".."
"EFRAIM","5","2,931","0.0033","..","..",".."
"EFRAIN","..","..","..","..","..",".."
"EFRATA","..","..","..","6","2,824","0.0043"
"EGAN","..","..","..","..","..",".."
"EGE","..","..","..","..","..",".."
"EGOR","..","..","..","..","..",".."
"EGYPT","..","..","..","..","..",".."
"EHAAN","..","..","..","..","..",".."
"EHAB","..","..","..","..","..",".."
"EHAN","6","2,614","0.0040","..","..",".."
"EHSAN","6","2,614","0.0040","..","..",".."
"EIDEN","9","1,963","0.0060","..","..",".."
"EILA","..","..","..","15","1,473","0.0107"
"EILEE","..","..","..","..","..",".."
"EILEEN","..","..","..","39","699","0.0279"
"EILIDH","..","..","..","6","2,824","0.0043"
"EILISH","..","..","..","..","..",".."
"EILIYAH","..","..","..","..","..",".."
"EIMAAN","..","..","..","..","..",".."
"EIMAN","..","..","..","..","..",".."
"EIRA","..","..","..","21","1,136","0.0150"
"EISA","..","..","..","..","..",".."
"EISHA","..","..","..","..","..",".."
"EISLEY","..","..","..","5","3,197","0.0036"
"EISSA","5","2,931","0.0033","..","..",".."
"EITAN","8","2,136","0.0053","..","..",".."
"EITHAN","15","1,355","0.0099","..","..",".."
"EKAM","36","711","0.0238","8","2,326","0.0057"
"EKAMBIR","..","..","..","..","..",".."
"EKAMJOT","14","1,430","0.0093","..","..",".."
"EKAMPREET","..","..","..","..","..",".."
"EKAMVEER","6","2,614","0.0040","..","..",".."
"EKANSH","..","..","..","..","..",".."
"EKAS","9","1,963","0.0060","..","..",".."
"EKATERINA","..","..","..","..","..",".."
"EKATERINI","..","..","..","..","..",".."
"EKBIR","..","..","..","..","..",".."
"EKJOT","..","..","..","..","..",".."
"EKNOOR","8","2,136","0.0053","19","1,238","0.0136"
"EKTA","..","..","..","..","..",".."
"EL","7","2,348","0.0046","..","..",".."
"ELA","..","..","..","9","2,160","0.0064"
"ELAAHI","..","..","..","31","849","0.0222"
"ELAF","..","..","..","6","2,824","0.0043"
"ELAHA","..","..","..","..","..",".."
"ELAHI","..","..","..","77","382","0.0551"
"ELAINA","..","..","..","78","371","0.0558"
"ELAINE","..","..","..","43","652","0.0308"
"ELAM","..","..","..","..","..",".."
"ELAN","7","2,348","0.0046","..","..",".."
"ELANA","..","..","..","10","1,992","0.0072"
"ELANNA","..","..","..","..","..",".."
"ELANOR","..","..","..","8","2,326","0.0057"
"ELARA","..","..","..","24","1,025","0.0172"
"ELAURA","..","..","..","..","..",".."
"ELAYA","..","..","..","13","1,645","0.0093"
"ELAYNA","..","..","..","15","1,473","0.0107"
"ELDA","..","..","..","..","..",".."
"ELDANA","..","..","..","15","1,473","0.0107"
"ELDEN","9","1,963","0.0060","..","..",".."
"ELDON","8","2,136","0.0053","..","..",".."
"ELEA","..","..","..","22","1,092","0.0157"
"ELEANA","..","..","..","16","1,398","0.0114"
"ELEANOR","..","..","..","503","36","0.3599"
"ELEANORA","..","..","..","30","865","0.0215"
"ELEANORE","..","..","..","34","791","0.0243"
"ELEAZAR","..","..","..","..","..",".."
"ELECTRA","..","..","..","..","..",".."
"ELEEN","..","..","..","6","2,824","0.0043"
"ELEENA","..","..","..","..","..",".."
"ELEFTHERIA","..","..","..","..","..",".."
"ELEFTHERIOS","..","..","..","..","..",".."
"ELEKTRA","..","..","..","..","..",".."
"ELENA","..","..","..","423","47","0.3027"
"ELENE","..","..","..","..","..",".."
"ELENI","..","..","..","15","1,473","0.0107"
"ELENIE","..","..","..","..","..",".."
"ELENNA","..","..","..","6","2,824","0.0043"
"ELENORE","..","..","..","..","..",".."
"ELEONOR","..","..","..","6","2,824","0.0043"
"ELEONORA","..","..","..","12","1,739","0.0086"
"ELEONORE","..","..","..","142","189","0.1016"
"ELEORA","..","..","..","6","2,824","0.0043"
"ELEXA","..","..","..","..","..",".."
"ELEXIS","..","..","..","..","..",".."
"ELEYNA","..","..","..","..","..",".."
"ELGIN","..","..","..","..","..",".."
"ELHADJ","7","2,348","0.0046","..","..",".."
"ELHADJI","5","2,931","0.0033","..","..",".."
"ELHAM","7","2,348","0.0046","6","2,824","0.0043"
"ELHANA","..","..","..","..","..",".."
"ELI","451","55","0.2986","..","..",".."
"ELIA","..","..","..","53","538","0.0379"
"ELIAB","11","1,696","0.0073","..","..",".."
"ELIAH","..","..","..","..","..",".."
"ELIAKIM","11","1,696","0.0073","..","..",".."
"ELIAM","49","554","0.0324","..","..",".."
"ELIAN","22","1,048","0.0146","..","..",".."
"ELIANA","..","..","..","341","68","0.2440"
"ELIANAH","..","..","..","..","..",".."
"ELIANE","..","..","..","85","339","0.0608"
"ELIANNA","..","..","..","59","487","0.0422"
"ELIANNE","..","..","..","19","1,238","0.0136"
"ELIAS","449","56","0.2972","..","..",".."
"ELICIA","..","..","..","..","..",".."
"ELIE","61","470","0.0404","37","735","0.0265"
"ELIE-ANN","..","..","..","..","..",".."
"ELIE-ANNE","..","..","..","..","..",".."
"ELIE-JADE","..","..","..","..","..",".."
"ELIEL","14","1,430","0.0093","..","..",".."
"ELIE-ROSE","..","..","..","12","1,739","0.0086"
"ELIEZER","11","1,696","0.0073","..","..",".."
"ELIF","..","..","..","11","1,860","0.0079"
"ELIGH","..","..","..","..","..",".."
"ELIJAH","596","33","0.3946","..","..",".."
"ELI-JAMES","5","2,931","0.0033","..","..",".."
"ELIKA","..","..","..","..","..",".."
"ELIKYA","..","..","..","6","2,824","0.0043"
"ELIM","..","..","..","6","2,824","0.0043"
"ELIN","..","..","..","10","1,992","0.0072"
"ELINA","..","..","..","65","443","0.0465"
"ELINE","..","..","..","21","1,136","0.0150"
"ELINOR","..","..","..","13","1,645","0.0093"
"ELIO","101","308","0.0669","..","..",".."
"ELIOR","10","1,815","0.0066","..","..",".."
"ELIORA","..","..","..","28","912","0.0200"
"ELIOT","107","293","0.0708","..","..",".."
"ELIOTT","123","257","0.0814","..","..",".."
"ELI-ROSE","..","..","..","..","..",".."
"ELIS","5","2,931","0.0033","..","..",".."
"ELISA","..","..","..","61","470","0.0436"
"ELISABELLE","..","..","..","..","..",".."
"ELISABETH","..","..","..","102","288","0.0730"
"ELISAPEE","..","..","..","..","..",".."
"ELISAPI","..","..","..","..","..",".."
"ELISE","..","..","..","153","165","0.1095"
"ELISEO","..","..","..","..","..",".."
"ELISHA","14","1,430","0.0093","29","889","0.0207"
"ELISHEVA","..","..","..","..","..",".."
"ELISIA","..","..","..","..","..",".."
"ELISSA","..","..","..","14","1,551","0.0100"
"ELISSE","..","..","..","5","3,197","0.0036"
"ELITA","..","..","..","..","..",".."
"ELIX","..","..","..","..","..",".."
"ELIYA","..","..","..","8","2,326","0.0057"
"ELIYAH","..","..","..","14","1,551","0.0100"
"ELIYAHU","..","..","..","..","..",".."
"ELIYANA","..","..","..","7","2,557","0.0050"
"ELIYANAH","..","..","..","17","1,348","0.0122"
"ELIYAS","..","..","..","..","..",".."
"ELIZ","..","..","..","5","3,197","0.0036"
"ELIZA","..","..","..","112","253","0.0801"
"ELIZABELLA","..","..","..","..","..",".."
"ELIZABELLE","..","..","..","..","..",".."
"ELIZABET","..","..","..","..","..",".."
"ELIZABETH","..","..","..","571","30","0.4086"
